text,entity_types,entities_json
"démolition 410m2 en zinc, incluant traitement humidité, budget 45000€, équipe 6 personnes","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""D\u00e9molition"", ""MATERIAU"": ""Zinc"", ""SURFACE"": ""410m2"", ""ACTIVITE_SPECIALE"": ""Traitement Humidit\u00e9"", ""BUDGET"": ""45000\u20ac"", ""NB_OUVRIERS"": ""6 personnes""}"
"béton : 110 m2 en gypse, coût estimé 20000 euros","TYPE_TRAVAIL, MATERIAU, SURFACE, BUDGET","{""TYPE_TRAVAIL"": ""B\u00e9ton"", ""MATERIAU"": ""Gypse"", ""SURFACE"": ""110 m2"", ""BUDGET"": ""20000 euros""}"
"charpente 190 m2 plâtre, étanchéité, budget 55000 euros","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET","{""TYPE_TRAVAIL"": ""Charpente"", ""MATERIAU"": ""Pl\u00e2tre"", ""SURFACE"": ""190 m2"", ""ACTIVITE_SPECIALE"": ""\u00c9tanch\u00e9it\u00e9"", ""BUDGET"": ""55000 euros""}"
démolition 80m² cuivre,"TYPE_TRAVAIL, MATERIAU, SURFACE","{""TYPE_TRAVAIL"": ""D\u00e9molition"", ""MATERIAU"": ""Cuivre"", ""SURFACE"": ""80m\u00b2""}"
menuiserie 490 m² brique,"TYPE_TRAVAIL, MATERIAU, SURFACE","{""TYPE_TRAVAIL"": ""Menuiserie"", ""MATERIAU"": ""Brique"", ""SURFACE"": ""490 m\u00b2""}"
"plomberie 430m2 ardoise, équipe de équipe de 3","TYPE_TRAVAIL, MATERIAU, SURFACE, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""Plomberie"", ""MATERIAU"": ""Ardoise"", ""SURFACE"": ""430m2"", ""NB_OUVRIERS"": ""\u00e9quipe de 3""}"
"escalier 30 m² pvc, équipe de 5 personnes","TYPE_TRAVAIL, MATERIAU, SURFACE, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""Escalier"", ""MATERIAU"": ""Pvc"", ""SURFACE"": ""30 m\u00b2"", ""NB_OUVRIERS"": ""5 personnes""}"
"piscine : 140m² en béton, coût estimé 50000€","TYPE_TRAVAIL, MATERIAU, SURFACE, BUDGET","{""TYPE_TRAVAIL"": ""Piscine"", ""MATERIAU"": ""B\u00e9ton"", ""SURFACE"": ""140m\u00b2"", ""BUDGET"": ""50000\u20ac""}"
"escalier 50 m2 pierre, équipe de équipe de 3","TYPE_TRAVAIL, MATERIAU, SURFACE, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""Escalier"", ""MATERIAU"": ""Pierre"", ""SURFACE"": ""50 m2"", ""NB_OUVRIERS"": ""\u00e9quipe de 3""}"
"cloison : 450 m² en plâtre, coût estimé 95000€","TYPE_TRAVAIL, MATERIAU, SURFACE, BUDGET","{""TYPE_TRAVAIL"": ""Cloison"", ""MATERIAU"": ""Pl\u00e2tre"", ""SURFACE"": ""450 m\u00b2"", ""BUDGET"": ""95000\u20ac""}"
façade 400 m2,"TYPE_TRAVAIL, SURFACE","{""TYPE_TRAVAIL"": ""Fa\u00e7ade"", ""SURFACE"": ""400 m2""}"
